Date,Close/Last,Volume,Open,High,Low,Adjust Open,,
02/08/2023,$140.22,3897058,$140.33,$141.10,$139.985,140.33,,
02/07/2023,$140.98,5447116,$139.77,$141.30,$138.69,139.77,,
02/06/2023,$140.68,5817971,$141.82,$142.10,$140.03,141.82,,
02/03/2023,$141.71,5718501,$143.36,$143.96,$140.86,143.36,,
02/02/2023,$143.62,5935591,$144.41,$144.86,$142.9356,144.41,,
02/01/2023,$144.67,4283059,$143.66,$145.61,$142.70,143.66,,
01/31/2023,$143.87,4701157,$142.32,$143.88,$141.66,142.32,,
01/30/2023,$142.15,5299156,$142.12,$142.45,$141.27,142.12,,
01/27/2023,$143.30,6137582,$142.60,$144.47,$141.75,142.60,,
01/26/2023,$142.21,5273032,$143.03,$143.75,$141.76,143.03,,
01/25/2023,$142.34,4163912,$142.24,$142.835,$140.39,142.24,,
01/24/2023,$143.02,4556450,$146.55,$159.88,$141.00,146.55,,
01/23/2023,$142.64,4383271,$140.46,$143.01,$140.20,140.46,,
01/20/2023,$140.54,9847661,$139.40,$140.78,$138.17,139.40,,
01/19/2023,$138.83,5780700,$141.39,$141.525,$138.79,141.39,,
01/18/2023,$140.84,7558141,$144.20,$144.25,$140.475,144.20,,
01/17/2023,$144.41,5040811,$145.29,$145.71,$144.195,145.29,,
01/13/2023,$145.29,4566729,$145.53,$145.82,$143.8601,145.53,,
01/12/2023,$144.81,4157593,$146.41,$146.42,$144.39,146.41,,
01/11/2023,$146.13,4944866,$145.74,$146.18,$144.73,145.74,,
01/10/2023,$144.86,3990219,$144.94,$145.45,$143.73,144.94,,
01/09/2023,$144.95,5918873,$146.32,$147.86,$144.80,146.32,,
01/06/2023,$146.78,7077269,$144.60,$147.55,$144.24,144.60,,
01/05/2023,$143.27,4424807,$143.46,$144.13,$142.65,143.46,,
01/04/2023,$143.76,4446303,$143.42,$144.05,$142.07,143.42,,
01/03/2023,$143.60,5749895,$142.55,$143.71,$142.09,142.55,,
12/30/2022,$141.79,3835316,$141.56,$141.9925,$140.81,141.56,,
12/29/2022,$142.15,3057412,$142.14,$143.02,$141.75,142.14,,
12/28/2022,$141.29,5082062,$143.47,$143.67,$140.91,143.47,,
12/27/2022,$143.81,3348406,$144.04,$144.45,$143.19,144.04,,
12/23/2022,$143.77,3182568,$143.05,$143.80,$142.28,143.05,,
12/22/2022,$143.48,4362066,$144.77,$144.98,$141.93,144.77,,
12/21/2022,$145.18,4575507,$144.32,$145.94,$144.26,144.32,,
12/20/2022,$144.05,5669767,$142.92,$144.64,$142.25,142.92,,
12/19/2022,$142.80,5022485,$143.01,$143.56,$141.7273,143.01,,
12/16/2022,$142.75,13447740,$144.48,$144.72,$142.57,144.48,,
12/15/2022,$145.36,5839323,$145.58,$146.42,$143.63,145.58,,
12/14/2022,$146.67,6778208,$147.09,$148.53,$145.96,147.09,,
12/13/2022,$147.49,7802889,$150.00,$150.20,$146.74,150.00,,
12/12/2022,$148.02,6477443,$145.90,$148.10,$145.56,145.90,,
12/09/2022,$145.31,9309818,$147.47,$147.715,$145.22,147.47,,
12/08/2022,$148.78,4504214,$149.16,$149.275,$148.14,149.16,,
12/07/2022,$149.11,5850070,$150.50,$151.21,$148.82,150.50,,
12/06/2022,$149.89,6875202,$151.20,$151.905,$149.21,151.20,,
12/05/2022,$151.65,7869424,$152.75,$153.00,$150.51,152.75,,
12/02/2022,$153.22,6911044,$151.48,$153.235,$151.48,151.48,,
12/01/2022,$153.37,7577389,$152.05,$153.61,$150.73,152.05,,
11/30/2022,$152.42,10445990,$152.61,$152.77,$151.20,152.61,,
11/29/2022,$152.97,4614051,$153.03,$153.71,$152.55,153.03,,
11/28/2022,$153.51,5893321,$152.72,$154.64,$152.72,152.72,,
11/25/2022,$153.07,2925807,$152.12,$153.09,$151.8627,152.12,,
11/23/2022,$152.42,5640225,$152.08,$153.365,$151.88,152.08,,
11/22/2022,$151.69,5632847,$152.00,$152.4499,$151.12,152.00,,
11/21/2022,$151.15,7052359,$150.61,$152.14,$150.19,150.61,,
11/18/2022,$150.23,6328950,$149.67,$150.24,$148.77,149.67,,
11/17/2022,$148.00,8265936,$147.01,$148.73,$146.71,147.01,,
11/16/2022,$148.50,10864410,$147.88,$150.20,$147.12,147.88,,
11/15/2022,$147.44,25516230,$145.61,$150.27,$144.55,145.61,,
11/14/2022,$138.39,12508640,$141.64,$143.32,$138.27,141.64,,
11/11/2022,$142.58,6423640,$142.67,$143.12,$139.99,142.67,,
11/10/2022,$142.36,6770204,$142.51,$142.69,$140.50,142.51,,
11/09/2022,$139.47,5310723,$142.76,$143.16,$139.21,142.76,,
11/08/2022,$142.79,5022837,$142.58,$144.075,$141.51,142.58,,
11/07/2022,$142.45,3788036,$141.26,$142.969,$141.26,141.26,,
11/04/2022,$140.97,4889768,$142.03,$142.21,$138.795,142.03,,
11/03/2022,$140.72,3658788,$139.51,$141.7147,$139.08,139.51,,
11/02/2022,$140.75,5176022,$141.16,$143.565,$140.70,141.16,,
11/01/2022,$141.69,4938327,$142.97,$143.55,$141.50,142.97,,
10/31/2022,$142.33,7524024,$142.34,$143.07,$141.77,142.34,,
10/28/2022,$142.51,4549390,$140.05,$142.90,$140.04,140.05,,
10/27/2022,$140.73,5534310,$141.01,$142.10,$140.295,141.01,,
10/26/2022,$141.14,6921059,$140.36,$142.04,$139.82,140.36,,
10/25/2022,$140.07,5017065,$139.09,$140.44,$138.32,139.09,,
10/24/2022,$139.41,6268879,$137.45,$140.475,$137.13,137.45,,
10/21/2022,$136.80,6044897,$134.81,$137.41,$134.00,134.81,,
10/20/2022,$134.09,4251646,$133.98,$135.40,$133.645,133.98,,
10/19/2022,$133.76,3779827,$134.33,$134.7324,$132.97,134.33,,
10/18/2022,$134.14,5614055,$133.43,$135.10,$133.33,133.43,,
10/17/2022,$131.37,5937465,$130.96,$132.8251,$130.585,130.96,,
10/14/2022,$130.43,5547555,$132.44,$133.22,$130.05,132.44,,
10/13/2022,$132.28,6848502,$129.28,$132.94,$128.37,129.28,,
10/12/2022,$131.17,5649193,$133.01,$134.7693,$130.97,133.01,,
10/11/2022,$132.67,7092041,$129.51,$133.80,$129.455,129.51,,
10/10/2022,$129.32,3803852,$129.53,$129.93,$128.2817,129.53,,
10/07/2022,$128.56,5693463,$131.31,$131.65,$128.07,131.31,,
10/06/2022,$131.68,4733488,$133.08,$134.48,$131.58,133.08,,
10/05/2022,$132.92,4851276,$133.76,$134.62,$132.51,133.76,,
10/04/2022,$134.25,5378122,$133.86,$135.20,$133.37,133.86,,
10/03/2022,$132.53,5858259,$130.24,$132.79,$130.01,130.24,,
09/30/2022,$129.70,6534061,$132.24,$132.36,$129.70,132.24,,
09/29/2022,$132.25,5080533,$133.50,$134.12,$131.63,133.50,,
09/28/2022,$133.11,5612761,$131.41,$133.65,$129.72,131.41,,
09/27/2022,$130.95,5659860,$132.23,$133.43,$130.3035,132.23,,
09/26/2022,$131.31,7670361,$128.75,$132.14,$128.27,128.75,,
09/23/2022,$130.06,9065131,$132.87,$133.175,$128.77,132.87,,
09/22/2022,$133.39,5581458,$134.57,$134.72,$132.84,134.57,,
09/21/2022,$134.77,8301190,$135.44,$137.45,$134.62,135.44,,
09/20/2022,$133.55,4654483,$133.48,$133.88,$132.535,133.48,,
09/19/2022,$134.33,5617727,$132.82,$134.76,$132.47,132.82,,
09/16/2022,$133.19,13958130,$132.00,$134.55,$131.28,132.00,,
09/15/2022,$133.47,6729778,$135.05,$135.15,$132.97,135.05,,
09/14/2022,$134.92,6644898,$135.63,$136.53,$134.10,135.63,,
09/13/2022,$135.22,5895775,$136.86,$137.95,$134.81,136.86,,
09/12/2022,$138.07,4761506,$137.08,$138.249,$136.965,137.08,,
09/09/2022,$136.84,5381762,$136.30,$137.50,$136.13,136.30,,
09/08/2022,$136.43,5652008,$135.40,$136.87,$134.88,135.40,,
09/07/2022,$135.74,5686324,$133.06,$135.965,$132.74,133.06,,
09/06/2022,$132.34,7299870,$133.05,$133.62,$130.72,133.05,,
09/02/2022,$133.00,5744847,$134.85,$135.67,$132.43,134.85,,
09/01/2022,$134.48,7247267,$132.54,$135.14,$132.40,132.54,,
08/31/2022,$132.55,7486916,$132.78,$133.79,$131.93,132.78,,
08/30/2022,$132.48,4822677,$133.34,$133.65,$131.74,133.34,,
08/29/2022,$132.88,5793855,$130.83,$133.865,$130.59,130.83,,
08/26/2022,$131.60,7110615,$136.11,$136.83,$131.515,136.11,,
08/25/2022,$135.87,6471534,$135.28,$135.99,$135.03,135.28,,
08/24/2022,$134.97,5255512,$134.35,$135.295,$133.60,134.35,,
08/23/2022,$134.00,5651696,$134.61,$134.96,$133.21,134.61,,
08/22/2022,$134.57,6222407,$136.20,$136.7199,$134.44,136.20,,
08/19/2022,$137.02,7639558,$138.92,$139.07,$136.91,138.92,,
08/18/2022,$139.07,6399178,$139.53,$140.42,$138.50,139.53,,
08/17/2022,$139.52,13930700,$138.57,$142.72,$138.40,138.57,,
08/16/2022,$139.37,30591110,$138.90,$140.93,$138.19,138.90,,
08/15/2022,$132.60,8838708,$131.63,$133.57,$131.3567,131.63,,
08/12/2022,$132.22,8874966,$130.00,$132.84,$129.82,130.00,,
08/11/2022,$129.82,7951494,$129.70,$130.37,$128.60,129.70,,
08/10/2022,$129.14,8416994,$130.00,$130.145,$128.39,130.00,,
08/09/2022,$128.87,6441670,$127.89,$128.97,$127.21,127.89,,
08/08/2022,$127.61,6061110,$126.65,$128.2125,$126.61,126.65,,
08/05/2022,$126.58,10668960,$125.51,$126.81,$125.12,125.51,,
08/04/2022,$125.57,17702000,$130.67,$130.80,$125.33,130.67,,
08/03/2022,$130.50,10667700,$132.16,$132.94,$129.86,132.16,,
08/02/2022,$132.68,6565006,$133.15,$133.71,$131.40,133.15,,
08/01/2022,$132.54,8332092,$131.06,$134.23,$131.00,131.06,,
07/29/2022,$132.05,10047280,$128.32,$132.265,$128.0125,128.32,,
07/28/2022,$129.75,11087440,$126.27,$130.51,$126.27,126.27,,
07/27/2022,$126.59,14053230,$121.24,$126.765,$121.0267,121.24,,
07/26/2022,$121.98,31797180,$121.13,$122.69,$120.06,121.13,,
07/25/2022,$132.02,6845054,$132.39,$132.6998,$131.4582,132.39,,
07/22/2022,$132.21,4538767,$132.54,$133.39,$131.231,132.54,,
07/21/2022,$132.55,6254884,$130.68,$132.56,$130.50,130.68,,
07/20/2022,$130.64,6188272,$130.51,$131.31,$129.50,130.51,,
07/19/2022,$129.56,5665085,$129.39,$129.96,$128.60,129.39,,
07/18/2022,$128.77,4747912,$128.65,$130.30,$128.26,128.65,,
07/15/2022,$129.07,7061417,$128.80,$130.27,$128.05,128.80,,
07/14/2022,$127.82,6968463,$124.16,$128.32,$124.14,124.16,,
07/13/2022,$125.37,4229706,$124.44,$126.46,$123.91,124.44,,
07/12/2022,$125.07,4577423,$125.11,$127.13,$124.72,125.11,,
07/11/2022,$125.45,3844626,$125.02,$126.33,$124.62,125.02,,
07/08/2022,$125.40,4917023,$125.82,$126.61,$125.15,125.82,,
07/07/2022,$125.32,5829096,$125.19,$125.525,$124.12,125.19,,
07/06/2022,$125.13,7100041,$124.48,$126.28,$124.30,124.48,,
07/05/2022,$124.25,6073237,$122.21,$124.51,$121.61,122.21,,
07/01/2022,$122.63,5820323,$121.94,$122.92,$121.16,121.94,,
06/30/2022,$121.58,6388745,$120.88,$122.06,$119.89,120.88,,
06/29/2022,$121.92,6370540,$122.89,$123.35,$120.97,122.89,,
06/28/2022,$122.37,5133858,$124.66,$125.57,$122.29,124.66,,
06/27/2022,$124.12,6629684,$123.78,$124.74,$122.79,123.78,,
06/24/2022,$123.72,10615320,$124.09,$125.31,$123.16,124.09,,
06/23/2022,$123.62,6013643,$121.75,$123.96,$121.20,121.75,,
06/22/2022,$120.69,6748385,$122.10,$123.25,$120.59,122.10,,
06/21/2022,$122.17,7972173,$118.30,$122.78,$118.22,118.30,,
06/17/2022,$118.29,12279630,$120.02,$120.88,$117.97,120.02,,
06/16/2022,$120.62,10235630,$118.35,$121.76,$118.23,118.35,,
06/15/2022,$119.38,8637951,$119.97,$120.41,$117.9029,119.97,,
06/14/2022,$119.46,7181447,$119.13,$120.00,$118.17,119.13,,
06/13/2022,$119.41,8299294,$119.74,$121.24,$119.09,119.74,,
06/10/2022,$121.70,8415608,$119.75,$122.74,$119.34,119.75,,
06/09/2022,$121.02,6628738,$122.00,$124.35,$120.99,122.00,,
06/08/2022,$122.30,7507557,$122.35,$123.91,$121.95,122.35,,
06/07/2022,$123.37,15902630,$121.24,$123.49,$120.8774,121.24,,
06/06/2022,$124.87,6618491,$125.82,$126.30,$124.585,125.82,,
06/03/2022,$125.32,6100907,$126.67,$127.42,$125.09,126.67,,
06/02/2022,$127.51,7738131,$125.57,$127.53,$124.33,125.57,,
06/01/2022,$125.45,9511562,$128.50,$128.92,$124.68,128.50,,
05/31/2022,$128.63,12304140,$127.46,$129.90,$127.42,127.46,,
05/27/2022,$128.48,8433266,$125.49,$128.62,$125.31,125.49,,
05/26/2022,$126.00,9399236,$125.30,$126.40,$124.40,125.30,,
05/25/2022,$123.37,9040627,$124.00,$124.67,$122.60,124.00,,
05/24/2022,$124.13,11528280,$121.21,$124.55,$121.0804,121.21,,
05/23/2022,$122.60,14560280,$119.92,$123.77,$119.86,119.92,,
05/20/2022,$119.20,16451980,$119.64,$120.84,$117.27,119.64,,
05/19/2022,$119.07,23669500,$120.87,$121.7899,$118.60,120.87,,
05/18/2022,$122.43,34751040,$128.03,$128.27,$121.53,128.03,,
05/17/2022,$131.35,44313390,$136.43,$137.44,$130.64,136.43,,
05/16/2022,$148.21,7149665,$149.38,$149.7318,$146.46,149.38,,
05/13/2022,$148.05,6654056,$147.71,$148.38,$146.14,147.71,,
05/12/2022,$147.48,8414841,$147.86,$150.15,$146.52,147.86,,
05/11/2022,$147.62,9292911,$149.40,$150.75,$146.91,149.40,,
05/10/2022,$149.18,8287106,$151.43,$152.29,$148.56,151.43,,
05/09/2022,$151.31,9402359,$148.47,$153.10,$148.19,148.47,,
05/06/2022,$149.56,11419360,$151.71,$153.95,$148.27,151.71,,
05/05/2022,$152.74,7744773,$153.64,$153.83,$151.40,153.64,,
05/04/2022,$154.62,6674223,$152.03,$154.82,$151.51,152.03,,
05/03/2022,$152.51,5983685,$152.43,$154.275,$151.78,152.43,,
05/02/2022,$151.98,6672001,$154.96,$154.99,$150.32,154.96,,
04/29/2022,$152.99,7029553,$155.81,$156.22,$152.71,155.81,,
04/28/2022,$156.21,4990343,$155.23,$156.98,$154.10,155.23,,
04/27/2022,$154.24,5832260,$155.53,$156.20,$154.02,155.53,,
04/26/2022,$155.30,6533677,$156.37,$158.13,$155.20,156.37,,
04/25/2022,$156.94,6019179,$156.37,$157.47,$154.35,156.37,,
04/22/2022,$156.86,7015439,$160.25,$160.36,$156.66,160.25,,
04/21/2022,$159.87,6056100,$159.92,$160.77,$159.07,159.92,,
04/20/2022,$159.63,6607171,$158.35,$160.35,$158.295,158.35,,
04/19/2022,$157.65,5284973,$156.67,$157.95,$156.04,156.67,,
04/18/2022,$155.88,4890605,$156.75,$157.98,$155.21,156.75,,
04/14/2022,$157.08,7453493,$157.11,$158.29,$156.43,157.11,,
04/13/2022,$157.22,9761532,$153.45,$157.79,$153.35,153.45,,
04/12/2022,$153.23,8920400,$154.24,$155.40,$152.55,154.24,,
04/11/2022,$154.29,8237585,$156.97,$158.24,$153.63,156.97,,
04/08/2022,$157.41,7764845,$156.91,$158.41,$156.21,156.91,,
04/07/2022,$156.54,9029354,$155.10,$157.54,$154.44,155.10,,
04/06/2022,$154.99,9339477,$151.02,$155.42,$150.4983,151.02,,
04/05/2022,$151.47,6219269,$150.88,$153.33,$150.88,150.88,,
04/04/2022,$151.04,8445829,$150.91,$153.20,$150.08,150.91,,
04/01/2022,$151.01,6979933,$149.66,$151.27,$148.8397,149.66,,
03/31/2022,$148.92,9054626,$148.79,$150.54,$148.18,148.79,,
03/30/2022,$149.87,8330524,$147.13,$150.18,$147.04,147.13,,
03/29/2022,$147.23,6644813,$146.60,$148.10,$146.25,146.60,,
03/28/2022,$146.00,6701881,$143.50,$146.06,$143.30,143.50,,
03/25/2022,$143.45,4696082,$143.45,$143.93,$142.265,143.45,,
03/24/2022,$142.83,4480295,$142.39,$143.91,$141.875,142.39,,
03/23/2022,$141.95,6541845,$143.14,$143.73,$141.52,143.14,,
03/22/2022,$143.80,6745041,$144.61,$144.97,$142.98,144.61,,
03/21/2022,$144.23,7116876,$145.43,$147.29,$143.62,145.43,,
03/18/2022,$145.44,10411140,$145.18,$145.57,$144.108,145.18,,
03/17/2022,$145.01,6341006,$144.45,$145.30,$142.65,144.45,,
03/16/2022,$145.35,8205319,$145.39,$146.94,$143.70,145.39,,
03/15/2022,$145.78,7624161,$144.53,$146.15,$143.85,144.53,,
03/14/2022,$144.05,7548765,$142.02,$144.85,$141.99,142.02,,
03/11/2022,$142.07,6387420,$142.30,$144.05,$141.88,142.30,,
03/10/2022,$142.63,9170929,$139.49,$143.00,$139.01,139.49,,
03/09/2022,$139.46,7374312,$140.00,$140.24,$138.14,140.00,,
03/08/2022,$138.74,9435176,$141.50,$142.46,$138.58,141.50,,
03/07/2022,$141.67,15290030,$141.30,$143.63,$140.45,141.30,,
03/04/2022,$142.82,11860220,$137.81,$142.94,$137.59,137.81,,
03/03/2022,$139.29,9961736,$137.29,$140.47,$136.55,137.29,,
03/02/2022,$136.16,7954751,$135.66,$136.83,$135.18,135.66,,
03/01/2022,$135.99,8008347,$135.87,$137.89,$135.02,135.87,,
02/28/2022,$135.16,8762227,$135.00,$136.07,$133.77,135.00,,
02/25/2022,$136.38,8332590,$134.81,$136.78,$134.09,134.81,,
02/24/2022,$134.53,10572480,$133.91,$135.01,$132.01,133.91,,
02/23/2022,$135.05,7010313,$136.86,$137.19,$134.84,136.86,,
02/22/2022,$136.45,8460309,$137.77,$138.24,$135.94,137.77,,
02/18/2022,$137.99,10367820,$138.10,$139.5899,$137.1607,138.10,,
02/17/2022,$138.88,17943850,$134.00,$139.47,$133.78,134.00,,
02/16/2022,$133.53,9496862,$134.33,$134.88,$132.70,134.33,,
02/15/2022,$134.37,7282849,$134.74,$135.67,$133.79,134.74,,
02/14/2022,$133.95,9787836,$135.33,$135.96,$132.71,135.33,,
02/11/2022,$135.33,7911135,$136.82,$137.18,$134.165,136.82,,
02/10/2022,$136.08,9270199,$136.55,$137.015,$135.46,136.55,,
02/09/2022,$137.69,7157923,$138.50,$138.79,$137.47,138.50,,
02/08/2022,$137.99,6486293,$138.32,$139.24,$137.51,138.32,,
02/07/2022,$137.96,6670120,$140.06,$140.07,$137.61,140.06,,
02/04/2022,$139.33,7345507,$140.89,$141.00,$138.35,140.89,,
02/03/2022,$140.99,6913734,$140.26,$141.99,$139.77,140.26,,
02/02/2022,$140.85,6049927,$141.00,$141.64,$140.15,141.00,,
02/01/2022,$140.91,6774366,$139.21,$141.1499,$138.99,139.21,,
01/31/2022,$139.81,6731158,$137.09,$140.04,$136.70,137.09,,
01/28/2022,$137.52,8377341,$136.00,$137.57,$133.95,136.00,,
01/27/2022,$135.84,9261266,$136.92,$139.08,$135.37,136.92,,
01/26/2022,$135.75,8728497,$137.34,$138.79,$135.16,137.34,,
01/25/2022,$137.15,9826478,$139.99,$140.37,$136.81,139.99,,
01/24/2022,$140.20,9570458,$139.07,$140.5329,$137.31,139.07,,
01/21/2022,$140.19,9169392,$141.22,$142.2616,$140.06,141.22,,
01/20/2022,$141.22,7462375,$142.35,$144.46,$141.07,142.35,,
01/19/2022,$143.94,7557994,$142.54,$144.99,$141.92,142.54,,
01/18/2022,$142.52,7044918,$144.41,$144.70,$142.13,144.41,,
01/14/2022,$145.06,8955786,$144.22,$146.63,$144.22,144.22,,
01/13/2022,$145.47,8084198,$143.43,$145.68,$143.11,143.43,,
01/12/2022,$143.44,6315605,$143.68,$143.9601,$143.00,143.68,,
01/11/2022,$144.20,7222905,$144.21,$144.62,$143.175,144.21,,
01/10/2022,$144.61,7577189,$145.44,$145.59,$143.12,145.44,,
01/07/2022,$144.89,6574530,$143.50,$145.36,$142.96,143.50,,
01/06/2022,$143.52,7276277,$143.62,$144.64,$142.40,143.62,,
01/05/2022,$143.92,11805970,$142.85,$145.95,$142.7399,142.85,,
01/04/2022,$142.00,11310010,$144.04,$145.1399,$141.76,144.04,,
01/03/2022,$144.65,6903262,$144.00,$144.7899,$143.01,144.00,,
12/31/2021,$144.69,5982595,$143.20,$145.045,$142.92,143.20,,
12/30/2021,$143.17,4982997,$143.26,$143.695,$142.48,143.26,,
12/29/2021,$142.71,4348420,$142.66,$143.53,$142.32,142.66,,
12/28/2021,$142.78,5263016,$140.60,$142.97,$140.60,140.60,,
12/27/2021,$140.76,5351125,$139.60,$140.87,$139.57,139.60,,
12/23/2021,$139.49,5864216,$139.80,$140.16,$138.85,139.80,,
12/22/2021,$139.80,5675950,$139.90,$139.99,$138.53,139.90,,
12/21/2021,$139.62,8206812,$138.90,$139.86,$138.01,138.90,,
12/20/2021,$139.20,10339290,$138.12,$139.75,$137.60,138.12,,
12/17/2021,$138.75,26237270,$142.75,$143.95,$138.39,142.75,,
12/16/2021,$143.34,13023160,$145.77,$146.526,$142.89,145.77,,
12/15/2021,$145.77,11163310,$145.21,$146.47,$143.40,145.21,,
12/14/2021,$144.94,15573760,$143.30,$145.28,$142.1501,143.30,,
12/13/2021,$143.57,18013120,$140.24,$143.7499,$140.01,140.24,,
12/10/2021,$141.03,12858540,$138.34,$141.30,$137.57,138.34,,
12/09/2021,$138.50,10783900,$136.63,$138.57,$135.71,136.63,,
12/08/2021,$137.15,11498750,$138.06,$138.50,$136.01,138.06,,
12/07/2021,$138.55,12579670,$139.60,$139.83,$138.09,139.60,,
12/06/2021,$139.00,10863130,$137.56,$139.36,$137.10,137.56,,
12/03/2021,$137.51,14714200,$135.86,$137.88,$135.29,135.86,,
12/02/2021,$135.47,13268560,$137.63,$138.44,$135.24,137.63,,
12/01/2021,$137.14,12229040,$140.51,$140.715,$137.04,140.51,,
11/30/2021,$140.63,21606350,$141.48,$142.50,$140.01,141.48,,
11/29/2021,$142.63,11013170,$145.00,$145.25,$142.23,145.00,,
11/26/2021,$144.90,7013238,$146.44,$147.88,$144.42,146.44,,
11/24/2021,$146.54,6029780,$145.73,$147.06,$145.64,145.73,,
