,Open,High,Low,Close,Volume,TradingDate
78,78478.0,78554.0,78096.0,78172.0,1602500,2021-09-27
79,78019.0,78325.0,78019.0,78325.0,1091100,2021-09-28
80,78249.0,78325.0,77409.0,77867.0,1398700,2021-09-29
81,77867.0,77867.0,77485.0,77867.0,955600,2021-09-30
82,77638.0,77867.0,77256.0,77867.0,1738100,2021-10-01
83,77409.0,77867.0,77256.0,77867.0,1756000,2021-10-04
84,77867.0,80539.0,77485.0,79699.0,2884600,2021-10-05
85,80386.0,80768.0,79546.0,80157.0,3391300,2021-10-06
86,80157.0,80768.0,79470.0,79470.0,2436000,2021-10-07
87,79546.0,79775.0,78707.0,79775.0,1534200,2021-10-08
88,79775.0,79852.0,79165.0,79394.0,2273900,2021-10-11
89,79165.0,79165.0,78554.0,78630.0,2348800,2021-10-12
90,78630.0,79165.0,78325.0,78325.0,1641300,2021-10-13
91,78554.0,78630.0,77867.0,78096.0,2839800,2021-10-14
92,78096.0,78325.0,77714.0,77867.0,2172700,2021-10-15
93,77867.0,78019.0,77485.0,77638.0,2239700,2021-10-18
94,77790.0,79394.0,77256.0,78325.0,3478600,2021-10-19
95,78325.0,79241.0,77485.0,78096.0,2454000,2021-10-20
96,78249.0,78325.0,77638.0,77867.0,2612700,2021-10-21
97,77867.0,79317.0,77790.0,78859.0,1784500,2021-10-22
98,79088.0,80081.0,78630.0,79241.0,3351400,2021-10-25
99,79394.0,79928.0,78325.0,78859.0,2546300,2021-10-26
100,78859.0,79775.0,78401.0,79317.0,1833600,2021-10-27
101,79394.0,83974.0,79165.0,82295.0,7631700,2021-10-28
102,83440.0,85501.0,83134.0,83440.0,6730000,2021-10-29
103,84508.0,84661.0,83211.0,83669.0,3415000,2021-11-01
104,82371.0,83211.0,82218.0,82524.0,3542600,2021-11-02
105,82447.0,82524.0,80233.0,80310.0,5703800,2021-11-03
106,80539.0,81149.0,79394.0,79394.0,3375700,2021-11-04
107,79394.0,80768.0,79088.0,80157.0,2986600,2021-11-05
108,80386.0,80768.0,79699.0,79852.0,2638200,2021-11-08
109,79775.0,80081.0,78630.0,78630.0,3589700,2021-11-09
110,79088.0,79852.0,78630.0,79394.0,2111500,2021-11-10
111,80157.0,82371.0,79394.0,80539.0,3163200,2021-11-11
112,80920.0,81684.0,80157.0,80920.0,1497600,2021-11-12
113,81531.0,81531.0,79088.0,79088.0,2376800,2021-11-15
114,79088.0,79852.0,78707.0,78707.0,2298500,2021-11-16
115,79470.0,79470.0,78630.0,78783.0,2048900,2021-11-17
116,79088.0,79088.0,78172.0,78401.0,2695500,2021-11-18
117,78325.0,78630.0,77485.0,78019.0,2540600,2021-11-19
